PublicLawNo,Year,Congress,HouseBill,SenateBill,Democrat,HouseCommittee,SenateCommittee,MajorTopic,subTopicCode,DateIntroduced,DatePassedHouse,DatePassedSenate,DateSigned
80503,1948,80,,S2278,1,,,Public Lands,2103,0,0,0,0
80504,1948,80,,SJRES94,1,,,Public Lands,2101,0,0,0,0
80505,1948,80,,S1696,0,,,Public Lands,2105,0,0,0,0
80506,1948,80,,S1481,1,,,Government Operations,2014,0,0,0,0
80507,1948,80,,S2195,0,,,Government Operations,2014,0,0,0,0
80510,1948,80,HR5328,,0,,,Foreign Trade,1807,0,0,0,0
80511,1948,80,HR1275,,0,,,Defense,1608,0,0,0,0
80512,1948,80,,S1393,0,,,Defense,1609,0,0,0,0
80513,1948,80,HR4490,,0,,,Defense,1611,0,0,0,0
80514,1948,80,HR5448,,0,,,Immigration,900,0,0,0,0
80515,1948,80,,SJRES189,1,,,Public Lands,2102,0,0,0,0
80516,1948,80,HR2622,,0,,,Public Lands,2102,0,0,0,0
80517,1948,80,HR4090,,0,,,Defense,1608,0,0,0,0
80518,1948,80,,S1132,0,,,Defense,1606,0,0,0,0
80519,1948,80,HR6055,,0,,,Government Operations,2000,0,0,0,0
80520,1948,80,,S1611,0,,,Transportation,1002,0,0,0,0
80521,1948,80,,S1648,0,,,Crime,1205,0,0,0,0
80522,1948,80,,SJRES198,0,,,Government Operations,2003,0,0,0,0
80523,1948,80,,S1298,0,,,Government Operations,2004,0,0,0,0
80524,1948,80,,S1545,1,,,Government Operations,2008,0,0,0,0
80525,1948,80,HR1036,,0,,,Transportation,1007,0,0,0,0
80526,1948,80,,S1620,0,,,Defense,1609,0,0,0,0
80527,1948,80,HR5963,,0,,,Government Operations,2008,0,0,0,0
80528,1948,80,,S1985,1,,,Education,602,0,0,0,0
80529,1948,80,HR5262,,0,,,Public Lands,2102,0,0,0,0
80530,1948,80,HR1189,,0,,,Government Operations,2003,0,0,0,0
80531,1948,80,HR1562,,0,,,Health,322,0,0,0,0
80532,1948,80,HR5035,,0,,,Defense,1699,0,0,0,0
80534,1948,80,HR107,,1,,,Public Lands,2101,0,0,0,0
80535,1948,80,HR4892,,0,,,Defense,1608,0,0,0,0
80536,1948,80,HR2000,,0,,,Public Lands,2104,0,0,0,0
80537,1948,80,HR4018,,0,,,Public Lands,2103,0,0,0,0
80538,1948,80,HR5137,,1,,,Immigration,900,0,0,0,0
80539,1948,80,HR5805,,0,,,Government Operations,2004,0,0,0,0
80540,1948,80,HR5933,,1,,,Foreign Trade,1807,0,0,0,0
80542,1948,80,HR5118,,0,,,Public Lands,2102,0,0,0,0
80543,1948,80,HR5651,,0,,,Public Lands,2103,0,0,0,0
80544,1948,80,HR3350,,0,,,Transportation,1007,0,0,0,0
80545,1948,80,HR3506,,1,,,Environment,710,0,0,0,0
80546,1948,80,HR5543,,1,,,Energy,802,0,0,0,0
80547,1948,80,HR6226,,1,,,Defense,1600,0,0,0,0
80548,1948,80,,S2287,0,,,International Affairs,1901,0,0,0,0
80549,1948,80,,S1571,0,,,Transportation,1003,0,0,0,0
80550,1948,80,,S1651,0,,,Transportation,1002,0,0,0,0
80551,1948,80,,S2233,0,,,Defense,1611,0,0,0,0
80552,1948,80,HR1878,,1,,,Immigration,900,0,0,0,0
80553,1948,80,HR4966,,0,,,Housing & Development,1406,0,0,0,0
80554,1948,80,HR5669,,0,,,Public Lands,2102,0,0,0,0
80555,1948,80,HR6067,,0,,,Public Lands,2104,0,0,0,0
80556,1948,80,,S1979,1,,,Environment,709,0,0,0,0
80557,1948,80,HR5298,,0,,,Defense,1615,0,0,0,0
80558,1948,80,,SJRES217,0,,,Government Operations,2030,0,0,0,0
80559,1948,80,,S1305,0,,,Energy,800,0,0,0,0
80560,1948,80,,S1525,0,,,Defense,1608,0,0,0,0
80561,1948,80,,S1874,1,,,Public Lands,2103,0,0,0,0
80562,1948,80,HR3510,,0,,,Transportation,1003,0,0,0,0
80563,1948,80,,S1050,0,,,Public Lands,2103,0,0,0,0
80564,1948,80,,S1723,0,,,Education,601,0,0,0,0
80565,1948,80,,S2077,0,,,Public Lands,2103,0,0,0,0
80566,1948,80,HR3219,,0,,,Government Operations,2008,0,0,0,0
80567,1948,80,HR5193,,0,,,Immigration,900,0,0,0,0
80568,1948,80,HR183,,1,,,Public Lands,2103,0,0,0,0
80569,1948,80,HR3344,,1,,,Public Lands,2103,0,0,0,0
80570,1948,80,HR5901,,0,,,Public Lands,2104,0,0,0,0
80571,1948,80,HR6302,,0,,,Public Lands,2103,0,0,0,0
80573,1948,80,HR4426,,0,,,Science & Technology,1708,0,0,0,0
80574,1948,80,HJRES379,,0,,,Government Operations,2011,0,0,0,0
80576,1948,80,,S1006,1,,,Public Lands,2103,0,0,0,0
80577,1948,80,,S1035,0,,,Health,322,0,0,0,0
80578,1948,80,HR1608,,1,,,Government Operations,2003,0,0,0,0
80579,1948,80,HR3578,,0,,,Public Lands,2101,0,0,0,0
80580,1948,80,HR3603,,0,,,Public Lands,2104,0,0,0,0
80581,1948,80,HR3633,,0,,,Public Lands,2103,0,0,0,0
80582,1948,80,HR3635,,0,,,Public Lands,2103,0,0,0,0
80583,1948,80,HR3730,,1,,,Crime,1204,0,0,0,0
80584,1948,80,HR3954,,0,,,Public Lands,2105,0,0,0,0
80585,1948,80,HR4091,,0,,,Public Lands,2105,0,0,0,0
80586,1948,80,HR4201,,0,,,Education,602,0,0,0,0
80587,1948,80,HR4393,,0,,,Science & Technology,1708,0,0,0,0
80588,1948,80,HR4512,,1,,,Public Lands,2103,0,0,0,0
80589,1948,80,HR4513,,0,,,Public Lands,2103,0,0,0,0
80590,1948,80,HR4551,,1,,,Public Lands,2101,0,0,0,0
80591,1948,80,HR4804,,0,,,Transportation,1007,0,0,0,0
80592,1948,80,HR4817,,0,,,Transportation,1007,0,0,0,0
80593,1948,80,HR5122,,1,,,Public Lands,2105,0,0,0,0
80594,1948,80,HR5173,,0,,,Public Lands,2103,0,0,0,0
80595,1948,80,HR5175,,0,,,Public Lands,2105,0,0,0,0
80596,1948,80,HR5244,,1,,,Public Lands,2105,0,0,0,0
80597,1948,80,HR5607,,0,,,Government Operations,2000,0,0,0,0
80598,1948,80,HR5839,,0,,,Public Lands,2101,0,0,0,0
80599,1948,80,HR5870,,0,,,Defense,1608,0,0,0,0
80600,1948,80,HR5922,,0,,,Immigration,900,0,0,0,0
80602,1948,80,HR3731,,0,,,Public Lands,2104,0,0,0,0
80603,1948,80,HR3785,,0,,,Public Lands,2103,0,0,0,0
80604,1948,80,HR4823,,0,,,Public Lands,2101,0,0,0,0
80606,1948,80,HR6659,,0,,,Defense,1604,0,0,0,0
80607,1948,80,HJRES339,,0,,,Government Operations,2003,0,0,0,0
80608,1948,80,HJRES341,,0,,,Government Operations,2003,0,0,0,0
80609,1948,80,HJRES371,,0,,,Government Operations,2003,0,0,0,0
80610,1948,80,,S2256,0,,,Agriculture,403,0,0,0,0
80611,1948,80,HR3638,,0,,,Government Operations,2099,0,0,0,0
80612,1948,80,HR5965,,0,,,Foreign Trade,1807,0,0,0,0
80613,1948,80,HR6242,,0,,,Foreign Trade,1807,0,0,0,0
80614,1948,80,HJRES384,,0,,,Foreign Trade,1807,0,0,0,0
80616,1948,80,,S2277,0,,,Public Lands,2103,0,0,0,0
80617,1948,80,HR4236,,1,,,Civil Rights,205,0,0,0,0
80618,1948,80,HR5155,,0,,,Public Lands,2104,0,0,0,0
80619,1948,80,HR5283,,1,,,Public Lands,2103,0,0,0,0
80620,1948,80,HR5816,,0,,,Public Lands,2101,0,0,0,0
80621,1948,80,HJRES246,,0,,,Government Operations,2003,0,0,0,0
80622,1948,80,HJRES340,,0,,,Government Operations,2003,0,0,0,0
80623,1948,80,,S1486,0,,,Government Operations,2004,0,0,0,0
80624,1948,80,,SJRES231,0,,,Domestic Commerce,1523,0,0,0,0
80625,1948,80,,S1641,0,,,Defense,1608,0,0,0,0
80626,1948,80,,S1676,1,,,Defense,1611,0,0,0,0
80627,1948,80,HR2359,,0,,,Public Lands,2104,0,0,0,0
80628,1948,80,HR4721,,0,,,Defense,1610,0,0,0,0
80629,1948,80,HR4954,,0,,,Public Lands,2104,0,0,0,0
80630,1948,80,HR5553,,0,,,Foreign Trade,1807,0,0,0,0
80631,1948,80,HR5587,,0,,,Public Lands,2101,0,0,0,0
80632,1948,80,HR6056,,0,,,Transportation,1005,0,0,0,0
80633,1948,80,HR6078,,0,,,Domestic Commerce,1500,0,0,0,0
80634,1948,80,HR6091,,0,,,Public Lands,2103,0,0,0,0
80635,1948,80,HJRES395,,0,,,Defense,1608,0,0,0,0
80636,1948,80,,SJRES227,0,,,Education,601,0,0,0,0
80637,1948,80,HR669,,0,,,Transportation,1007,0,0,0,0
80638,1948,80,HR3680,,0,,,Public Lands,2105,0,0,0,0
80639,1948,80,HR5728,,0,,,Social Welfare,1303,0,0,0,0
80640,1948,80,HR5770,,1,,,Government Operations,2000,0,0,0,0
80641,1948,80,HR6500,,0,,,Government Operations,2011,0,0,0,0
80642,1948,80,HJRES296,,0,,,Social Welfare,1303,0,0,0,0
80643,1948,80,,SJRES98,0,,,International Affairs,1926,0,0,0,0
80644,1948,80,,S1987,0,,,Public Lands,2104,0,0,0,0
80645,1948,80,,S2137,0,,,Agriculture,405,0,0,0,0
80646,1948,80,HR6355,,0,,,Social Welfare,1303,0,0,0,0
80647,1948,80,HR6407,,0,,,Transportation,1003,0,0,0,0
80648,1948,80,HJRES411,,0,,,Government Operations,2003,0,0,0,0
80649,1948,80,,S1025,1,,,Environment,710,0,0,0,0
80650,1948,80,,S1037,0,,,Public Lands,2103,0,0,0,0
80651,1948,80,,S1249,0,,,Agriculture,405,0,0,0,0
80652,1948,80,,S1302,1,,,Government Operations,2099,0,0,0,0
80653,1948,80,,S1675,0,,,Defense,1611,0,0,0,0
80654,1948,80,,S2201,1,,,Transportation,1002,0,0,0,0
80655,1948,80,,S2215,1,,,Health,331,0,0,0,0
80656,1948,80,,S2455,0,,,Transportation,1003,0,0,0,0
80657,1948,80,,S2456,0,,,Science & Technology,1708,0,0,0,0
80658,1948,80,,S2553,0,,,Transportation,1002,0,0,0,0
80659,1948,80,,S2593,0,,,Defense,1611,0,0,0,0
80660,1948,80,HR5134,,0,,,Defense,1609,0,0,0,0
80661,1948,80,HR6730,,0,,,Defense,1609,0,0,0,0
80662,1948,80,,S110,1,,,Domestic Commerce,1520,0,0,0,0
80663,1948,80,,S153,1,,,Public Lands,2101,0,0,0,0
80665,1948,80,,S2479,0,,,Public Lands,2103,0,0,0,0
80666,1948,80,,S2496,1,,,Public Lands,2103,0,0,0,0
80667,1948,80,HR3628,,0,,,Public Lands,2103,0,0,0,0
80668,1948,80,HR4032,,0,,,Government Operations,2011,0,0,0,0
80669,1948,80,,S263,0,,,Government Operations,2003,0,0,0,0
80670,1948,80,,S295,0,,,Defense,1608,0,0,0,0
80671,1948,80,,S554,0,,,Domestic Commerce,1500,0,0,0,0
80673,1948,80,,S692,1,,,Crime,1201,0,0,0,0
80674,1948,80,,S1082,0,,,Government Operations,2003,0,0,0,0
80675,1948,80,,S1214,0,,,Defense,1608,0,0,0,0
80678,1948,80,,S1470,0,,,Defense,1612,0,0,0,0
80679,1948,80,,S1747,0,,,Government Operations,2008,0,0,0,0
80680,1948,80,,S1783,0,,,Defense,1608,0,0,0,0
80681,1948,80,,S1790,0,,,Transportation,1007,0,0,0,0
80682,1948,80,,S1791,0,,,Defense,1611,0,0,0,0
80683,1948,80,,S1795,0,,,Defense,1610,0,0,0,0
80684,1948,80,,S1861,0,,,Government Operations,2003,0,0,0,0
80685,1948,80,,S1871,1,,,Public Lands,2103,0,0,0,0
80686,1948,80,,S1925,0,,,Public Lands,2103,0,0,0,0
80687,1948,80,,S2152,0,,,Government Operations,2003,0,0,0,0
80688,1948,80,,S2251,0,,,Public Lands,2101,0,0,0,0
80689,1948,80,,S2288,0,,,Housing & Development,1407,0,0,0,0
80690,1948,80,,S2400,0,,,Defense,1610,0,0,0,0
80692,1948,80,,S2454,0,,,Transportation,1003,0,0,0,0
80693,1948,80,,S2592,0,,,Defense,1611,0,0,0,0
80695,1948,80,HR238,,0,,,Transportation,1007,0,0,0,0
80696,1948,80,HR2273,,0,,,International Affairs,1915,0,0,0,0
80697,1948,80,HR2721,,0,,,Environment,709,0,0,0,0
80698,1948,80,HR3402,,0,,,Transportation,1002,0,0,0,0
80700,1948,80,HR3883,,1,,,Defense,1610,0,0,0,0
80702,1948,80,HR4244,,0,,,Housing & Development,1407,0,0,0,0
80703,1948,80,HR4455,,0,,,Public Lands,2103,0,0,0,0
80704,1948,80,HR4688,,0,,,Government Operations,2008,0,0,0,0
80705,1948,80,HR4874,,1,,,Public Lands,2103,0,0,0,0
80706,1948,80,HR5065,,0,,,Defense,1609,0,0,0,0
80707,1948,80,HR5112,,0,,,Government Operations,2011,0,0,0,0
80708,1948,80,HR5174,,1,,,Agriculture,402,0,0,0,0
80709,1948,80,HR5344,,0,,,Labor,503,0,0,0,0
80710,1948,80,HR5758,,0,,,Defense,1608,0,0,0,0
80712,1948,80,HR5883,,0,,,Agriculture,400,0,0,0,0
80713,1948,80,HR5889,,0,,,Health,302,0,0,0,0
80714,1948,80,HR5891,,1,,,Energy,805,0,0,0,0
80715,1948,80,HR5957,,0,,,Public Lands,2101,0,0,0,0
80716,1948,80,HR5983,,0,,,Defense,1608,0,0,0,0
80717,1948,80,HR6073,,0,,,Public Lands,2103,0,0,0,0
80718,1948,80,HR6110,,0,,,International Affairs,1902,0,0,0,0
80719,1948,80,HR6113,,0,,,Public Lands,2104,0,0,0,0
80720,1948,80,HR6114,,1,,,Agriculture,402,0,0,0,0
80721,1948,80,HR6229,,0,,,Public Lands,2105,0,0,0,0
80722,1948,80,HR6234,,0,,,Health,325,0,0,0,0
80723,1948,80,HR6339,,0,,,Health,300,0,0,0,0
80724,1948,80,HR6430,,0,,,Government Operations,2014,0,0,0,0
80725,1948,80,HR6489,,0,,,Foreign Trade,1807,0,0,0,0
80726,1948,80,HR6716,,0,,,Health,322,0,0,0,0
80727,1948,80,HR6758,,0,,,Government Operations,2000,0,0,0,0
80729,1948,80,HR5820,,0,,,Health,398,0,0,0,0
80731,1948,80,HR6368,,0,,,Government Operations,2003,0,0,0,0
80732,1948,80,,S1933,1,,,Public Lands,2103,0,0,0,0
80733,1948,80,,S1090,0,,,Public Lands,2103,0,0,0,0
80734,1948,80,HR5822,,0,,,Public Lands,2101,0,0,0,0
80735,1948,80,HR6239,,1,,,Public Lands,2103,0,0,0,0
80736,1948,80,HR6246,,1,,,Public Lands,2103,0,0,0,0
80738,1948,80,,S2122,0,,,Transportation,1007,0,0,0,0
80739,1948,80,HR4964,,0,,,Government Operations,2003,0,0,0,0
80740,1948,80,HR5272,,0,,,Government Operations,2003,0,0,0,0
80741,1948,80,,S1493,0,,,Government Operations,2004,0,0,0,0
80742,1948,80,HR5071,,0,,,Public Lands,2103,0,0,0,0
80743,1948,80,HR2588,,0,,,Government Operations,2003,0,0,0,0
80744,1948,80,HR6766,,0,,,Labor,503,0,0,0,0
80746,1948,80,,S2508,0,,,Government Operations,2004,0,0,0,0
80747,1948,80,HR2867,,1,,,Public Lands,2103,0,0,0,0
80748,1948,80,HR3889,,0,,,Defense,1609,0,0,0,0
80749,1948,80,HR4071,,0,,,Agriculture,403,0,0,0,0
80750,1948,80,HR5275,,0,,,Foreign Trade,1807,0,0,0,0
80751,1948,80,HR6188,,0,,,Government Operations,2001,0,0,0,0
80752,1948,80,HR6698,,0,,,Education,601,0,0,0,0
80753,1948,80,HR6772,,0,,,Defense,1600,0,0,0,0
80754,1948,80,,SJRES203,0,,,Public Lands,2103,0,0,0,0
80755,1948,80,HR6726,,0,,,Health,398,0,0,0,0
80756,1948,80,,S2192,0,,,Transportation,1005,0,0,0,0
80757,1948,80,,S2237,0,,,Labor,503,0,0,0,0
80758,1948,80,,S2505,0,,,Defense,1600,0,0,0,0
80759,1948,80,,S2655,0,,,Defense,1608,0,0,0,0
80760,1948,80,,S2706,0,,,Government Operations,2008,0,0,0,0
80761,1948,80,HR239,,0,,,Transportation,1007,0,0,0,0
80762,1948,80,HR4962,,0,,,Defense,1609,0,0,0,0
80763,1948,80,HR5036,,0,,,Defense,1699,0,0,0,0
80764,1948,80,HR5936,,1,,,Public Lands,2101,0,0,0,0
80765,1948,80,HR6318,,0,,,Transportation,1005,0,0,0,0
80766,1948,80,HR6771,,0,,,Defense,1600,0,0,0,0
80767,1948,80,HR6822,,0,,,International Affairs,1900,0,0,0,0
80768,1948,80,HR6641,,1,,,Government Operations,2004,0,0,0,0
80769,1948,80,HJRES433,,1,,,Transportation,1005,0,0,0,0
80770,1948,80,HR4659,,1,,,Macroeconomics,101,0,0,0,0
80771,1948,80,HR6412,,0,,,Government Operations,2099,0,0,0,0
80772,1948,80,HR3190,,0,,,Crime,1210,0,0,0,0
80773,1948,80,HR3214,,0,,,Crime,1204,0,0,0,0
80774,1948,80,,S2242,0,,,Immigration,900,0,0,0,0
80775,1948,80,,S2401,0,,,Defense,1608,0,0,0,0
80776,1948,80,,S2675,0,,,Public Lands,2105,0,0,0,0
80777,1948,80,,S2770,0,,,Government Operations,2004,0,0,0,0
80778,1948,80,HJRES297,,1,,,Public Lands,2101,0,0,0,0
80779,1948,80,HR945,,1,,,Crime,1204,0,0,0,0
80780,1948,80,HR2766,,0,,,Crime,1204,0,0,0,0
80781,1948,80,HR4114,,0,,,Health,300,0,0,0,0
80782,1948,80,HR5524,,0,,,Defense,1615,0,0,0,0
80783,1948,80,HR5886,,0,,,Immigration,900,0,0,0,0
80784,1948,80,HR6293,,0,,,Government Operations,2002,0,0,0,0
80785,1948,80,HR6935,,0,,,Government Operations,2000,0,0,0,0
80786,1948,80,,S1853,0,,,Transportation,1007,0,0,0,0
80787,1948,80,,S2186,0,,,Transportation,1007,0,0,0,0
80788,1948,80,,S2591,0,,,International Affairs,1921,0,0,0,0
80790,1948,80,HR3218,,0,,,Public Lands,2104,0,0,0,0
80791,1948,80,HR6039,,0,,,Defense,1608,0,0,0,0
80792,1948,80,HR6556,,0,,,Foreign Trade,1802,0,0,0,0
80793,1948,80,HR6801,,0,,,International Affairs,1901,0,0,0,0
80794,1948,80,,SJRES177,0,,,Transportation,1005,0,0,0,0
80795,1948,80,HR5053,,1,,,Public Lands,2101,0,0,0,0
80796,1948,80,HR5710,,0,,,Defense,1611,0,0,0,0
80797,1948,80,,S2849,1,,,Defense,1611,0,0,0,0
80798,1948,80,HR4330,,1,,,International Affairs,1929,0,0,0,0
80799,1948,80,HR4367,,1,,,Transportation,1002,0,0,0,0
80801,1948,80,HR4690,,1,,,Transportation,1007,0,0,0,0
80802,1948,80,HR4917,,0,,,Defense,1609,0,0,0,0
80803,1948,80,HR6448,,0,,,Defense,1611,0,0,0,0
80804,1948,80,HR6707,,0,,,Defense,1608,0,0,0,0
80805,1948,80,,S1087,1,,,Housing & Development,1403,0,0,0,0
80806,1948,80,,S1322,0,,,Agriculture,402,0,0,0,0
80807,1948,80,,S2739,1,,,Government Operations,2003,0,0,0,0
80808,1948,80,,S2747,0,,,Transportation,1005,0,0,0,0
80809,1948,80,,SJRES,1,,,Government Operations,2003,0,0,0,0
80810,1948,80,HR2744,,1,,,Defense,1608,0,0,0,0
80811,1948,80,HR6634,,1,,,Government Operations,2003,0,0,0,0
80812,1948,80,HJRES305,,1,,,Government Operations,2003,0,0,0,0
80813,1948,80,,S2225,0,,,Domestic Commerce,1501,0,0,0,0
80814,1948,80,,SJRES202,1,,,Public Lands,2104,0,0,0,0
80815,1948,80,,S3,1,,,Transportation,1003,0,0,0,0
80816,1948,80,,S239,0,,,Education,601,0,0,0,0
80817,1948,80,,S1107,0,,,Government Operations,2011,0,0,0,0
80818,1948,80,,S1447,0,,,Environment,709,0,0,0,0
80819,1948,80,,S2281,0,,,Government Operations,2003,0,0,0,0
80820,1948,80,,S2376,1,,,Agriculture,402,0,0,0,0
80821,1948,80,,S2621,0,,,Crime,1205,0,0,0,0
80822,1948,80,,S2676,0,,,Public Lands,2103,0,0,0,0
80823,1948,80,,S2698,1,,,Defense,1606,0,0,0,0
80824,1948,80,,S2830,0,,,Defense,1604,0,0,0,0
80825,1948,80,,S2877,0,,,Domestic Commerce,1523,0,0,0,0
80827,1948,80,HJRES427,,0,,,Public Lands,2101,0,0,0,0
80828,1948,80,HJRES428,,0,,,Defense,1620,0,0,0,0
80829,1948,80,HR2239,,0,,,Public Lands,2103,0,0,0,0
80830,1948,80,HR4816,,1,,,Health,322,0,0,0,0
80831,1948,80,HR5734,,0,,,Defense,1611,0,0,0,0
80832,1948,80,HR5750,,0,,,Government Operations,2003,0,0,0,0
80833,1948,80,HR5861,,1,,,Public Lands,2103,0,0,0,0
