Year,MajorTopic,Mood,Congress
1991,Macroeconomics,0.0893015711,102
1992,Macroeconomics,0.4955515656,102
1993,Macroeconomics,0.4634273386,103
1994,Macroeconomics,0.4148664551,103
1995,Macroeconomics,0.0572950431,104
1948,N/A,0.4867617847,80
1997,Macroeconomics,0.2905917825,105
1949,Transportation,0.3479020516,81
1949,Transportation,0.1284315652,81
1949,Transportation,0.0277466317,81
2001,Macroeconomics,0.0166326089,107
2002,Macroeconomics,0.0714958944,107
2003,Macroeconomics,0.1509739044,108
2004,Macroeconomics,0.2166318128,108
2005,Macroeconomics,0.2033163946,109
2006,Macroeconomics,0.5566328803,109
1949,Crime,0.0932971773,81
1949,Crime,0.2442064751,81
1949,Crime,0.3964907699,81
1949,Crime,0.5781029561,81
1949,Crime,0.326389202,81
1949,Crime,0.0138612514,81
1949,Social Welfare,0.2629652307,81
1949,Social Welfare,0.4345797591,81
1949,Social Welfare,0.4922621876,81
1949,Housing & Development,0.4169523092,81
1949,Domestic Commerce,0.398260923,81
1949,Domestic Commerce,0.1333010952,81
1949,Domestic Commerce,0.0988976707,81
1949,Defense,0.0503406192,81
1949,Science & Technology,0.0072606919,81
1949,Science & Technology,0.3017925076,81
1949,Science & Technology,0.1642431217,81
1958,Macroeconomics,0.1397109204,85
1949,Government Operations,0.5173711613,81
1949,Government Operations,0.4826653742,81
1949,Government Operations,0.4121611302,81
1962,Macroeconomics,0.5966631444,87
1963,Macroeconomics,0.2275683804,88
1964,Macroeconomics,0.182291564,88
1965,Macroeconomics,0.3636730001,89
1966,Macroeconomics,0.5901411499,89
1967,Macroeconomics,0.057798636,90
1949,Public Lands,0.1563436428,81
1949,Public Lands,0.4460223599,81
1970,Macroeconomics,0.029500915,91
1971,Macroeconomics,0.5108693855,92
1972,Macroeconomics,0.2479841532,92
1973,Macroeconomics,0.5055394781,93
1974,Macroeconomics,0.5158106402,93
1975,Macroeconomics,0.5735476443,94
1976,Macroeconomics,0.2448488915,94
1977,Macroeconomics,0.3584834073,95
1978,Macroeconomics,0.3925026837,95
1979,Macroeconomics,0.366501992,96
1980,Macroeconomics,0.2636778448,96
1981,Macroeconomics,0.2176040907,97
1982,Macroeconomics,0.107322295,97
1983,Macroeconomics,0.4992445293,98
1984,Macroeconomics,0.4401214563,98
1985,Macroeconomics,0.3188728186,99
1986,Macroeconomics,0.5781852789,99
1987,Macroeconomics,0.4382525026,100
1988,Macroeconomics,0.1825778429,100
1989,Macroeconomics,0.1644106227,101
1990,Macroeconomics,0.3105888817,101
1949,N/A,0.4997796382,81
1992,Macroeconomics,0.5901592969,102
1950,Transportation,0.063660815,81
1950,Transportation,0.4006726171,81
1950,Transportation,0.4466256555,81
1996,Macroeconomics,0.0626291673,104
1997,Macroeconomics,0.4047832219,105
1998,Macroeconomics,0.2237660938,105
1999,Macroeconomics,0.2905701561,106
2000,Macroeconomics,0.4034521067,106
2001,Macroeconomics,0.1936018669,107
1950,Crime,0.4223620712,81
1950,Crime,0.1467238149,81
1950,Crime,0.1539274093,81
1950,Crime,0.5921323809,81
1950,Crime,0.268589896,81
1950,Crime,0.1950223892,81
1950,Social Welfare,0.2640701362,81
1950,Social Welfare,0.0888956588,81
1950,Social Welfare,0.0215980156,81
1950,Housing & Development,0.0736338456,81
1950,Domestic Commerce,0.3472225609,81
1950,Domestic Commerce,0.4809624299,81
1950,Domestic Commerce,0.5718695351,81
1950,Defense,0.4861859474,81
1950,Science & Technology,0.5685686262,81
1950,Science & Technology,0.3422799891,81
1950,Science & Technology,0.1721545812,81
1953,Macroeconomics,0.3242073568,83
1950,Government Operations,0.0983317424,81
1950,Government Operations,0.3907795813,81
1950,Government Operations,0.2793415649,81
1957,Macroeconomics,0.4399902213,85
1958,Macroeconomics,0.0102911124,85
1959,Macroeconomics,0.4927097597,86
1960,Macroeconomics,0.2130363269,86
1961,Macroeconomics,0.1123166241,87
1962,Macroeconomics,0.4402857816,87
1950,Public Lands,0.5851023083,81
1950,Public Lands,0.5992907699,81
1965,Macroeconomics,0.4418778215,89
1966,Macroeconomics,0.0819437302,89
1967,Macroeconomics,0.0383781164,90
1968,Macroeconomics,0.5120446431,90
1969,Macroeconomics,0.4632014916,91
1970,Macroeconomics,0.4200455495,91
1971,Macroeconomics,0.0228799711,92
1972,Macroeconomics,0.0841596295,92
1973,Macroeconomics,0.0117347568,93
1974,Macroeconomics,0.4575769644,93
1975,Macroeconomics,0.4044258666,94
1976,Macroeconomics,0.3803527514,94
1977,Macroeconomics,0.0764595425,95
1978,Macroeconomics,0.4722457271,95
1979,Macroeconomics,0.1404973087,96
1980,Macroeconomics,0.1678649009,96
1981,Macroeconomics,0.4010329311,97
1982,Macroeconomics,0.0736908908,97
1983,Macroeconomics,0.4588475071,98
1984,Macroeconomics,0.1143649057,98
1985,Macroeconomics,0.3316567948,99
1950,N/A,0.0753339773,81
1987,Macroeconomics,0.0679740169,100
1951,Transportation,0.3638564173,82
1951,Transportation,0.135789325,82
1951,Transportation,0.1411791855,82
1991,Macroeconomics,0.5287097464,102
1992,Macroeconomics,0.3729651891,102
1993,Macroeconomics,0.2462167219,103
1994,Macroeconomics,0.2457521688,103
1995,Macroeconomics,0.1168945742,104
1996,Macroeconomics,0.1751244302,104
1951,Crime,0.2779102832,82
1951,Crime,0.5833910741,82
1951,Crime,0.4880752615,82
1951,Crime,0.057568365,82
1951,Crime,0.37414392,82
1951,Crime,0.3387577271,82
1951,Social Welfare,0.3744520196,82
1951,Social Welfare,0.5507877008,82
1951,Social Welfare,0.1323349509,82
1951,Housing & Development,0.5698864634,82
1951,Domestic Commerce,0.4966702249,82
1951,Domestic Commerce,0.0270646889,82
1951,Domestic Commerce,0.0247205278,82
1951,Defense,0.5619973035,82
1951,Science & Technology,0.4250573172,82
1951,Science & Technology,0.1040017967,82
1951,Science & Technology,0.3026527489,82
1948,Macroeconomics,0.2629559323,80
1951,Government Operations,0.0706400074,82
1951,Government Operations,0.1983864672,82
1951,Government Operations,0.3500634586,82
1952,Macroeconomics,0.5018599021,82
1953,Macroeconomics,0.121882675,83
1954,Macroeconomics,0.1040410922,83
1955,Macroeconomics,0.4446523811,84
1956,Macroeconomics,0.3390623696,84
1957,Macroeconomics,0.2139293939,85
1951,Public Lands,0.0514676619,82
1951,Public Lands,0.3344369309,82
1960,Macroeconomics,0.2758463223,86
1961,Macroeconomics,0.0390019709,87
1962,Macroeconomics,0.5187719707,87
1963,Macroeconomics,0.3419110648,88
1964,Macroeconomics,0.1571556337,88
1965,Macroeconomics,0.32052069,89
1966,Macroeconomics,0.0742091829,89
1967,Macroeconomics,0.3684269776,90
1968,Macroeconomics,0.1335868311,90
1969,Macroeconomics,0.1484285077,91
1970,Macroeconomics,0.454724075,91
1971,Macroeconomics,0.0303944558,92
1972,Macroeconomics,0.3000874552,92
1973,Macroeconomics,0.3674299399,93
1974,Macroeconomics,0.5157082669,93
1975,Macroeconomics,0.2388584064,94
1976,Macroeconomics,0.5839763804,94
1977,Macroeconomics,0.4099445232,95
1978,Macroeconomics,0.4748924607,95
1979,Macroeconomics,0.0205221127,96
1980,Macroeconomics,0.2577982061,96
1951,N/A,0.5645691498,82
1982,Macroeconomics,0.2620417534,97
1952,Transportation,0.166863428,82
1952,Transportation,0.4917454389,82
1952,Transportation,0.0474507483,82
1986,Macroeconomics,0.0565357247,99
1987,Macroeconomics,0.5069773056,100
1988,Macroeconomics,0.5775454805,100
1989,Macroeconomics,0.1390926585,101
1990,Macroeconomics,0.5619855922,101
1991,Macroeconomics,0.4156576802,102
1952,Crime,0.0902948911,82
1952,Crime,0.1927690305,82
1952,Crime,0.4640288959,82
1952,Crime,0.0438444671,82
1952,Crime,0.2140244987,82
1952,Crime,0.1207839356,82
1952,Social Welfare,0.2998706698,82
1952,Social Welfare,0.079805654,82
1952,Social Welfare,0.2015572452,82
1952,Housing & Development,0.5875707921,82
1952,Domestic Commerce,0.3547192638,82
1952,Domestic Commerce,0.2512549254,82
1952,Domestic Commerce,0.1352385414,82
1952,Defense,0.0022280737,82
1952,Science & Technology,0.094011766,82
1952,Science & Technology,0.3905237394,82
1952,Science & Technology,0.5636568634,82
2009,Macroeconomics,0.3425135697,111
1952,Government Operations,0.4924759636,82
1952,Government Operations,0.4251989144,82
1952,Government Operations,0.3037783074,82
1947,Macroeconomics,0.4177043504,80
1948,Macroeconomics,0.1366998186,80
1949,Macroeconomics,0.1974913146,81
1950,Macroeconomics,0.1267746582,81
1951,Macroeconomics,0.4226587141,82
1952,Macroeconomics,0.4242382079,82
1952,Public Lands,0.241400571,82
1952,Public Lands,0.0912264234,82
1955,Macroeconomics,0.0090896302,84
1956,Macroeconomics,0.0707595342,84
1957,Macroeconomics,0.0756721088,85
1958,Macroeconomics,0.3852881142,85
1959,Macroeconomics,0.3969878375,86
1960,Macroeconomics,0.0575550925,86
1961,Macroeconomics,0.1135097498,87
1962,Macroeconomics,0.1495281736,87
1963,Macroeconomics,0.4219797733,88
1964,Macroeconomics,0.3526516877,88
1965,Macroeconomics,0.5022741962,89
1966,Macroeconomics,0.1313989135,89
1967,Macroeconomics,0.2916624186,90
1968,Macroeconomics,0.4572841141,90
1969,Macroeconomics,0.4055091733,91
1970,Macroeconomics,0.4446834638,91
1971,Macroeconomics,0.3971551459,92
1972,Macroeconomics,0.5568101244,92
1973,Macroeconomics,0.4286182918,93
1974,Macroeconomics,0.3147098646,93
1975,Macroeconomics,0.3621800244,94
1952,N/A,0.0346131691,82
1977,Macroeconomics,0.064326136,95
1953,Transportation,0.0461101665,83
1953,Transportation,0.5740321375,83
1953,Transportation,0.257158278,83
1981,Macroeconomics,0.2353902928,97
1982,Macroeconomics,0.2691295491,97
1983,Macroeconomics,0.3096321759,98
1984,Macroeconomics,0.2453506915,98
1985,Macroeconomics,0.5124730456,99
1986,Macroeconomics,0.4456866804,99
1953,Crime,0.1564915005,83
1953,Crime,0.3468929672,83
1953,Crime,0.4689607954,83
1953,Crime,0.0588871366,83
1953,Crime,0.5106663446,83
1953,Crime,0.4229907641,83
1953,Social Welfare,0.1182194006,83
1953,Social Welfare,0.1503198022,83
1953,Social Welfare,0.454981404,83
1953,Housing & Development,0.0393330843,83
1953,Domestic Commerce,0.1665023703,83
1953,Domestic Commerce,0.1672639768,83
1953,Domestic Commerce,0.5805652587,83
1953,Defense,0.1107416091,83
1953,Science & Technology,0.2685554181,83
1953,Science & Technology,0.1568728015,83
1953,Science & Technology,0.1460119443,83
2004,Macroeconomics,0.5758518691,108
1953,Government Operations,0.3678623191,83
1953,Government Operations,0.2748194171,83
1953,Government Operations,0.061597446,83
2008,Macroeconomics,0.0065401343,110
2009,Macroeconomics,0.2631928876,111
2010,Macroeconomics,0.2168275363,111
2011,Macroeconomics,0.3457099103,112
1946,Civil Rights,0.0574962892,79
1947,Civil Rights,0.4832598038,80
1953,Public Lands,0.1022189858,83
1953,Public Lands,0.0911254072,83
1950,Civil Rights,0.2609780583,81
1951,Civil Rights,0.4916387201,82
1952,Civil Rights,0.2390482711,82
1953,Civil Rights,0.4639847025,83
1954,Civil Rights,0.390098773,83
1955,Civil Rights,0.1184829323,84
1956,Civil Rights,0.3191547028,84
1957,Civil Rights,0.2862998295,85
1958,Civil Rights,0.5215092273,85
1959,Civil Rights,0.1503359812,86
1960,Civil Rights,0.1078547645,86
1961,Civil Rights,0.0735100784,87
1962,Civil Rights,0.0511256,87
1963,Civil Rights,0.4578206012,88
1964,Civil Rights,0.370557197,88
1965,Civil Rights,0.3557527102,89
1966,Civil Rights,0.4048909706,89
1967,Civil Rights,0.5008256559,90
1968,Civil Rights,0.1224538774,90
1969,Civil Rights,0.2015005795,91
1970,Civil Rights,0.277819586,91
1953,N/A,0.5501570528,83
1972,Civil Rights,0.200223198,92
1954,Transportation,0.2755755346,83
1954,Transportation,0.4555747653,83
1954,Transportation,0.1790236055,83
1976,Civil Rights,0.2199924199,94
1977,Civil Rights,0.0823436844,95
1978,Civil Rights,0.4445695764,95
1979,Civil Rights,0.4902059418,96
1980,Civil Rights,0.5823615955,96
1981,Civil Rights,0.3958539709,97
1954,Crime,0.2371615731,83
1954,Crime,0.3578534033,83
1954,Crime,0.1998899424,83
1954,Crime,0.2163550165,83
1954,Crime,0.1049822311,83
1954,Crime,0.0114507043,83
1954,Social Welfare,0.5108250221,83
1954,Social Welfare,0.4534678384,83
1954,Social Welfare,0.384766264,83
1954,Housing & Development,0.0369229471,83
1954,Domestic Commerce,0.3628581813,83
1954,Domestic Commerce,0.5574787206,83
1954,Domestic Commerce,0.4484262641,83
1954,Defense,0.4217180657,83
1954,Science & Technology,0.224120237,83
1954,Science & Technology,0.503926234,83
1954,Science & Technology,0.4487106416,83
1999,Civil Rights,0.3675985387,106
1954,Government Operations,0.4798749006,83
1954,Government Operations,0.3406838084,83
1954,Government Operations,0.0140891525,83
2003,Civil Rights,0.3217462335,108
2004,Civil Rights,0.029507032,108
2005,Civil Rights,0.0158339889,109
2006,Civil Rights,0.0340416407,109
2007,Civil Rights,0.2802777108,110
2008,Civil Rights,0.4182125551,110
1954,Public Lands,0.005927269,83
1954,Public Lands,0.2316452101,83
2011,Civil Rights,0.0343584986,112
1946,Civil Rights,0.4530356855,79
1947,Civil Rights,0.1404666676,80
1948,Civil Rights,0.488323204,80
1949,Civil Rights,0.4076157978,81
1950,Civil Rights,0.1264977113,81
1951,Civil Rights,0.0227929245,82
1952,Civil Rights,0.4787375136,82
1953,Civil Rights,0.3128787537,83
1954,Civil Rights,0.483118045,83
1955,Civil Rights,0.5865519798,84
1956,Civil Rights,0.1281282559,84
1957,Civil Rights,0.4802260859,85
1958,Civil Rights,0.0698708721,85
1959,Civil Rights,0.1125632581,86
1960,Civil Rights,0.3787166839,86
1961,Civil Rights,0.0185431134,87
1962,Civil Rights,0.2697567974,87
1963,Civil Rights,0.5387870946,88
1964,Civil Rights,0.1866528432,88
1965,Civil Rights,0.3015231821,89
1954,N/A,0.569204871,83
1967,Civil Rights,0.0252659768,90
1955,Transportation,0.3877500661,84
1955,Transportation,0.2173751886,84
1955,Transportation,0.5309096782,84
1971,Civil Rights,0.2985775346,92
1972,Civil Rights,0.409855563,92
1973,Civil Rights,0.0558546033,93
1974,Civil Rights,0.5860701959,93
1975,Civil Rights,0.1660591371,94
1976,Civil Rights,0.102802278,94
1955,Crime,0.5341481921,84
1955,Crime,0.5090453228,84
1955,Crime,0.4221626261,84
1955,Crime,0.3978172534,84
1955,Crime,0.0328045672,84
1955,Crime,0.58441981,84
1955,Social Welfare,0.4626156263,84
1955,Social Welfare,0.3517864789,84
1955,Social Welfare,0.1492975225,84
1955,Housing & Development,0.3285029453,84
1955,Domestic Commerce,0.0848777156,84
1955,Domestic Commerce,0.2148101259,84
1955,Domestic Commerce,0.1614250962,84
1955,Defense,0.0778065398,84
1955,Science & Technology,0.5676495322,84
1955,Science & Technology,0.4898316726,84
1955,Science & Technology,0.2743229681,84
1994,Civil Rights,0.327157738,103
1955,Government Operations,0.255866627,84
1955,Government Operations,0.1134670114,84
1955,Government Operations,0.4965107492,84
1998,Civil Rights,0.2279773771,105
1999,Civil Rights,0.0930442232,106
2000,Civil Rights,0.5392640755,106
2001,Civil Rights,0.4029306353,107
2002,Civil Rights,0.2931513726,107
2003,Civil Rights,0.3966232694,108
1955,Public Lands,0.3110504432,84
1955,Public Lands,0.2739448132,84
2006,Civil Rights,0.3538449867,109
2007,Civil Rights,0.23579805,110
2008,Civil Rights,0.1238110478,110
2009,Civil Rights,0.253562274,111
2010,Civil Rights,0.4529454439,111
2011,Civil Rights,0.2724247093,112
1946,Civil Rights,0.1479775267,79
1947,Civil Rights,0.5266759693,80
1948,Civil Rights,0.2533058711,80
1949,Civil Rights,0.0780296979,81
1950,Civil Rights,0.021332034,81
1951,Civil Rights,0.256615822,82
1952,Civil Rights,0.0343820113,82
1953,Civil Rights,0.4919504784,83
1954,Civil Rights,0.0083679608,83
1955,Civil Rights,0.0287963476,84
1956,Civil Rights,0.1687288903,84
1957,Civil Rights,0.0451144519,85
1958,Civil Rights,0.3045077022,85
1959,Civil Rights,0.5983087116,86
1960,Civil Rights,0.3897450934,86
1955,N/A,0.3746866405,84
1962,Civil Rights,0.5486532065,87
1956,Transportation,0.3993277915,84
1956,Transportation,0.4600826903,84
1956,Transportation,0.3732361158,84
1966,Civil Rights,0.4740741562,89
1967,Civil Rights,0.1185356735,90
1968,Civil Rights,0.1372547911,90
1969,Civil Rights,0.5354128224,91
1970,Civil Rights,0.0672296673,91
1971,Civil Rights,0.1674637205,92
1956,Crime,0.3503017051,84
1956,Crime,0.0555457066,84
1956,Crime,0.2222974314,84
1956,Crime,0.1053675133,84
1956,Crime,0.5358125784,84
1956,Crime,0.5650775292,84
1956,Social Welfare,0.1708211149,84
1956,Social Welfare,0.0826123777,84
1956,Social Welfare,0.3710737154,84
1956,Housing & Development,0.0870499781,84
1956,Domestic Commerce,0.5887855007,84
1956,Domestic Commerce,0.0937715547,84
1956,Domestic Commerce,0.4033724237,84
1956,Defense,0.0224651783,84
1956,Science & Technology,0.0310523086,84
1956,Science & Technology,0.5533930835,84
1956,Science & Technology,0.3428467643,84
1989,Civil Rights,0.1864990049,101
1956,Government Operations,0.2414998428,84
1956,Government Operations,0.1962600319,84
1956,Government Operations,0.5510757313,84
1993,Civil Rights,0.0624598462,103
1994,Civil Rights,0.3763024223,103
1995,Civil Rights,0.0591370622,104
1996,Civil Rights,0.2582744313,104
1997,Civil Rights,0.2489377452,105
1998,Civil Rights,0.0936147981,105
1956,Public Lands,0.5514661522,84
1956,Public Lands,0.1448860343,84
2001,Civil Rights,0.2272126924,107
2002,Civil Rights,0.5437539167,107
2003,Civil Rights,0.2999925339,108
2004,Civil Rights,0.423189852,108
2005,Civil Rights,0.1415596846,109
2006,Civil Rights,0.5976512863,109
2007,Civil Rights,0.2406902013,110
2008,Civil Rights,0.5627793206,110
2009,Civil Rights,0.1167537955,111
2010,Civil Rights,0.4173057916,111
2011,Civil Rights,0.228165782,112
1946,Civil Rights,0.5827126766,79
1947,Civil Rights,0.1496344871,80
1948,Civil Rights,0.2542639432,80
1949,Civil Rights,0.2169694079,81
1950,Civil Rights,0.5412913755,81
1951,Civil Rights,0.2456825577,82
1952,Civil Rights,0.408463318,82
1953,Civil Rights,0.1741753308,83
1954,Civil Rights,0.0761007912,83
1955,Civil Rights,0.2161738423,84
1956,N/A,0.5172417949,84
1957,Civil Rights,0.1472560492,85
1957,Transportation,0.1390772425,85
1957,Transportation,0.3494024107,85
1957,Transportation,0.4063424432,85
1961,Civil Rights,0.1184066827,87
1962,Civil Rights,0.0838392918,87
1963,Civil Rights,0.0443518808,88
1964,Civil Rights,0.182069776,88
1965,Civil Rights,0.0548199714,89
1966,Civil Rights,0.1338114243,89
1957,Crime,0.2327184694,85
1957,Crime,0.0124852642,85
1957,Crime,0.0096575198,85
1957,Crime,0.1446854265,85
1957,Crime,0.0319139606,85
1957,Crime,0.3081796746,85
1957,Social Welfare,0.5585396281,85
1957,Social Welfare,0.2606916766,85
1957,Social Welfare,0.4654400603,85
1957,Housing & Development,0.1361264106,85
1957,Domestic Commerce,0.0619508932,85
1957,Domestic Commerce,0.4724462944,85
1957,Domestic Commerce,0.1745335247,85
1957,Defense,0.5623508479,85
1957,Science & Technology,0.4080281706,85
1957,Science & Technology,0.4776163745,85
1957,Science & Technology,0.263047366,85
1984,Civil Rights,0.2247516919,98
1957,Government Operations,0.0287960846,85
1957,Government Operations,0.1134586678,85
1957,Government Operations,0.2975416741,85
1988,Civil Rights,0.4765064359,100
1989,Civil Rights,0.4751096372,101
1990,Civil Rights,0.3354639074,101
1991,Civil Rights,0.2089105224,102
1992,Civil Rights,0.3404606236,102
1993,Civil Rights,0.1900689278,103
1957,Public Lands,0.0541270326,85
1957,Public Lands,0.2034047938,85
1996,Civil Rights,0.4476206158,104
1997,Civil Rights,0.478754391,105
1998,Civil Rights,0.2154313968,105
1999,Civil Rights,0.2073383756,106
2000,Civil Rights,0.0879634112,106
2001,Civil Rights,0.1771574807,107
2002,Civil Rights,0.5428426706,107
2003,Civil Rights,0.2322012744,108
2004,Civil Rights,0.3062870498,108
2005,Civil Rights,0.2957021902,109
2006,Civil Rights,0.294389212,109
2007,Civil Rights,0.1025246298,110
2008,Civil Rights,0.230881779,110
2009,Civil Rights,0.1411674996,111
2010,Civil Rights,0.5117218894,111
2011,Civil Rights,0.2005478551,112
1946,Civil Rights,0.154853622,79
1947,Civil Rights,0.3206701455,80
1948,Civil Rights,0.1122084122,80
1949,Civil Rights,0.3462145302,81
1950,Civil Rights,0.1516983726,81
1957,N/A,0.066009206,85
1952,Civil Rights,0.0258660826,82
1958,Transportation,0.0982088482,85
1958,Transportation,0.2135721976,85
1958,Transportation,0.1977825688,85
1956,Civil Rights,0.4561336868,84
1957,Civil Rights,0.3474396833,85
1958,Civil Rights,0.1842933281,85
1959,Civil Rights,0.5911517812,86
1960,Civil Rights,0.1032815321,86
1961,Civil Rights,0.1773593038,87
1958,Crime,0.4832104293,85
1958,Crime,0.5180553744,85
